inc_response,stim,kross,presentation_order,zcue,correct_response,iSI,pros_stim,event_code,emoticon_H,cor_response,n,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,order
96,1_fea_sw_trimF,cross.bmp,1,0.972111570479,66,2.68802721088,1_fea_sw_trimF.wav,25,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,0.0
80,2_ang_qw_trimF,cross.bmp,2,-1.4805664681,50,3.54047619048,2_ang_qw_trimF.wav,9,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,1.0
97,4_fea_sw_trimF,cross.bmp,3,0.989480113305,67,3.09891156463,4_fea_sw_trimF.wav,26,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,2.0
84,4_ang_qw_trimF,cross.bmp,4,-0.4123222868,54,3.11138321995,4_ang_qw_trimF.wav,13,Emoticons_H.bmp,3,1.0,1.0,1.0,0.0,'3',1.48060786724,1.4806078672409058,0.0,3.0
73,4_hap_qs_trimF,cross.bmp,5,-0.537060731298,43,3.75081632653,4_hap_qs_trimF.wav,3,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,'3',0.36204379797,0.36204379796981812,0.0,4.0
71,4_hap_qw_trimF,cross.bmp,6,-1.14249072153,41,3.13696145125,4_hap_qw_trimF.wav,1,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,'2',1.59630286694,1.59630286693573,0.0,5.0
85,3_ang_qs_trimF,cross.bmp,7,0.156742370527,55,3.16766439909,3_ang_qs_trimF.wav,14,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,'1',0.861678481102,0.86167848110198975,0.0,6.0
78,3_hap_qs_trimF,cross.bmp,8,1.42422309705,48,3.36818594104,3_hap_qs_trimF.wav,8,Emoticons_H.bmp,1,1.0,1.0,1.0,0.0,'1',0.259484678507,0.2594846785068512,0.0,7.0
92,3_fea_sw_trimF,cross.bmp,9,-0.634123784623,62,3.31684807256,3_fea_sw_trimF.wav,21,Emoticons_H.bmp,2,1.0,1.0,1.0,0.0,'2',1.29688978195,1.2968897819519043,0.0,8.0
72,1_hap_ss_trimF,cross.bmp,10,-1.12933930495,42,3.82702947846,1_hap_ss_trimF.wav,2,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,'3',1.12976098061,1.1297609806060791,0.0,9.0
