inc_response,stim,kross,presentation_order,zcue,correct_response,iSI,pros_stim,event_code,emoticon_H,cor_response,n,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,order
74,2_hap_qs_trimF_trimF,cross.bmp,63,-0.307202009129,44,3.28947845805,2_hap_qs_trimF.wav,4,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,,,,,62.0
83,2_ang_qs_trimF,cross.bmp,64,-0.621977686867,53,3.55623582766,2_ang_qs_trimF.wav,12,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,63.0
93,2_fea_ss_trimF,cross.bmp,65,0.166248411568,63,3.06099773243,2_fea_ss_trimF.wav,22,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,64.0
94,1_fea_ss_trimF,cross.bmp,66,0.46505470844,64,3.6325170068,1_fea_ss_trimF.wav,23,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,65.0
87,4_ang_qs_trimF,cross.bmp,67,0.805675751688,57,3.96158730159,4_ang_qs_trimF.wav,16,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,66.0
89,4_ang_ss_trimF,cross.bmp,68,1.40469118045,59,3.98519274376,4_ang_ss_trimF.wav,18,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,67.0
75,2_hap_sw_trimF,cross.bmp,69,0.063624465804,45,3.1866893424,2_hap_sw_trimF.wav,5,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,,,,,68.0
95,4_fea_qs_trimF,cross.bmp,70,0.781640746535,65,3.94272108844,4_fea_qs_trimF.wav,24,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,69.0
76,3_hap_ss_trimF,cross.bmp,71,0.231692495938,46,3.35551020408,3_hap_ss_trimF.wav,6,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,,,,,70.0
82,3_ang_qw_trimF,cross.bmp,72,-0.731797182141,52,2.88544217687,3_ang_qw_trimF.wav,11,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,71.0
88,1_ang_ss_trimF,cross.bmp,73,1.25493732326,58,3.54068027211,1_ang_ss_trimF.wav,17,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,72.0
