inc_response,stim,kross,presentation_order,zcue,correct_response,iSI,pros_stim,event_code,emoticon_H,cor_response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.corr,key_resp.rt,date,expName,session,participant,
90,3_fea_ss_trimF,cross.bmp,49,-1.54910561741,60,3.30308390023,3_fea_ss_trimF.wav,19,Emoticons_H.bmp,2,0,48,48,48,None,0,,2012_Nov_21_1516,None,001,22,
77,3_hap_qw_trimF,cross.bmp,50,1.39655270811,47,3.07333333333,3_hap_qw_trimF.wav,7,Emoticons_H.bmp,1,0,49,49,49,None,0,,2012_Nov_21_1516,None,001,22,
81,2_ang_ss_trimF,cross.bmp,51,-1.03130489652,51,3.67217687075,2_ang_ss_trimF.wav,10,Emoticons_H.bmp,3,0,50,50,50,None,0,,2012_Nov_21_1516,None,001,22,
86,4_ang_sw_trimF,cross.bmp,52,0.655921894497,56,3.47814058957,4_ang_sw_trimF.wav,15,Emoticons_H.bmp,3,0,51,51,51,None,0,,2012_Nov_21_1516,None,001,22,
96,1_fea_sw_trimF,cross.bmp,53,0.972111570479,66,2.68802721088,1_fea_sw_trimF.wav,25,Emoticons_H.bmp,2,0,52,52,52,None,0,,2012_Nov_21_1516,None,001,22,
80,2_ang_qw_trimF,cross.bmp,54,-1.4805664681,50,3.54047619048,2_ang_qw_trimF.wav,9,Emoticons_H.bmp,3,0,53,53,53,None,0,,2012_Nov_21_1516,None,001,22,
97,4_fea_sw_trimF,cross.bmp,55,0.989480113305,67,3.09891156463,4_fea_sw_trimF.wav,26,Emoticons_H.bmp,2,0,54,54,54,None,0,,2012_Nov_21_1516,None,001,22,
84,4_ang_qw_trimF,cross.bmp,56,-0.4123222868,54,3.11138321995,4_ang_qw_trimF.wav,13,Emoticons_H.bmp,3,0,55,55,55,None,0,,2012_Nov_21_1516,None,001,22,
73,4_hap_qs_trimF,cross.bmp,57,-0.537060731298,43,3.75081632653,4_hap_qs_trimF.wav,3,Emoticons_H.bmp,1,0,56,56,56,None,0,,2012_Nov_21_1516,None,001,22,
71,4_hap_qw_trimF,cross.bmp,58,-1.14249072153,41,3.13696145125,4_hap_qw_trimF.wav,1,Emoticons_H.bmp,1,0,57,57,57,None,0,,2012_Nov_21_1516,None,001,22,
85,3_ang_qs_trimF,cross.bmp,59,0.156742370527,55,3.16766439909,3_ang_qs_trimF.wav,14,Emoticons_H.bmp,3,0,58,58,58,None,0,,2012_Nov_21_1516,None,001,22,
78,3_hap_qs_trimF,cross.bmp,60,1.42422309705,48,3.36818594104,3_hap_qs_trimF.wav,8,Emoticons_H.bmp,1,0,59,59,59,None,0,,2012_Nov_21_1516,None,001,22,
92,3_fea_sw_trimF,cross.bmp,61,-0.634123784623,62,3.31684807256,3_fea_sw_trimF.wav,21,Emoticons_H.bmp,2,0,60,60,60,None,0,,2012_Nov_21_1516,None,001,22,
72,1_hap_ss_trimF,cross.bmp,62,-1.12933930495,42,3.82702947846,1_hap_ss_trimF.wav,2,Emoticons_H.bmp,1,0,61,61,61,None,0,,2012_Nov_21_1516,None,001,22,
74,2_hap_qs_trimF_trimF,cross.bmp,63,-0.307202009129,44,3.28947845805,2_hap_qs_trimF.wav,4,Emoticons_H.bmp,1,0,62,62,62,None,0,,2012_Nov_21_1516,None,001,22,
83,2_ang_qs_trimF,cross.bmp,64,-0.621977686867,53,3.55623582766,2_ang_qs_trimF.wav,12,Emoticons_H.bmp,3,0,63,63,63,None,0,,2012_Nov_21_1516,None,001,22,
93,2_fea_ss_trimF,cross.bmp,65,0.166248411568,63,3.06099773243,2_fea_ss_trimF.wav,22,Emoticons_H.bmp,2,0,64,64,64,None,0,,2012_Nov_21_1516,None,001,22,
94,1_fea_ss_trimF,cross.bmp,66,0.46505470844,64,3.6325170068,1_fea_ss_trimF.wav,23,Emoticons_H.bmp,2,0,65,65,65,None,0,,2012_Nov_21_1516,None,001,22,
87,4_ang_qs_trimF,cross.bmp,67,0.805675751688,57,3.96158730159,4_ang_qs_trimF.wav,16,Emoticons_H.bmp,3,0,66,66,66,None,0,,2012_Nov_21_1516,None,001,22,
89,4_ang_ss_trimF,cross.bmp,68,1.40469118045,59,3.98519274376,4_ang_ss_trimF.wav,18,Emoticons_H.bmp,3,0,67,67,67,None,0,,2012_Nov_21_1516,None,001,22,
75,2_hap_sw_trimF,cross.bmp,69,0.063624465804,45,3.1866893424,2_hap_sw_trimF.wav,5,Emoticons_H.bmp,1,0,68,68,68,None,0,,2012_Nov_21_1516,None,001,22,
95,4_fea_qs_trimF,cross.bmp,70,0.781640746535,65,3.94272108844,4_fea_qs_trimF.wav,24,Emoticons_H.bmp,2,0,69,69,69,None,0,,2012_Nov_21_1516,None,001,22,
76,3_hap_ss_trimF,cross.bmp,71,0.231692495938,46,3.35551020408,3_hap_ss_trimF.wav,6,Emoticons_H.bmp,1,0,70,70,70,None,0,,2012_Nov_21_1516,None,001,22,
82,3_ang_qw_trimF,cross.bmp,72,-0.731797182141,52,2.88544217687,3_ang_qw_trimF.wav,11,Emoticons_H.bmp,3,0,71,71,71,None,0,,2012_Nov_21_1516,None,001,22,
88,1_ang_ss_trimF,cross.bmp,73,1.25493732326,58,3.54068027211,1_ang_ss_trimF.wav,17,Emoticons_H.bmp,3,0,72,72,72,None,0,,2012_Nov_21_1516,None,001,22,
91,3_fea_qs_trimF,cross.bmp,74,-1.19130614829,61,3.75097505669,3_fea_qs_trimF.wav,20,Emoticons_H.bmp,2,0,73,73,73,None,0,,2012_Nov_21_1516,None,001,22,
90,3_fea_ss_trimF,cross.bmp,75,-1.54910561741,60,3.30308390023,3_fea_ss_trimF.wav,19,Emoticons_H.bmp,2,0,74,74,74,None,0,,2012_Nov_21_1516,None,001,22,
77,3_hap_qw_trimF,cross.bmp,76,1.39655270811,47,3.07333333333,3_hap_qw_trimF.wav,7,Emoticons_H.bmp,1,0,75,75,75,None,0,,2012_Nov_21_1516,None,001,22,
81,2_ang_ss_trimF,cross.bmp,77,-1.03130489652,51,3.67217687075,2_ang_ss_trimF.wav,10,Emoticons_H.bmp,3,0,76,76,76,None,0,,2012_Nov_21_1516,None,001,22,
86,4_ang_sw_trimF,cross.bmp,78,0.655921894497,56,3.47814058957,4_ang_sw_trimF.wav,15,Emoticons_H.bmp,3,0,77,77,77,None,0,,2012_Nov_21_1516,None,001,22,
